convoID,ambientVariant,processedVolume,technology,model,bleu_score
31943607,insideAmbulance,-30dBFS,whisper,large,75.27140621962174
31943607,insideAmbulance,-35dBFS,whisper,large,79.0279197979501
31943607,insideCrowded,-15dBFS,whisper,large,58.86500070378019
31943607,insideCrowded,-20dBFS,whisper,large,76.58183912158687
31943607,insideCrowded,-25dBFS,whisper,large,81.74939843317098
31943607,insideCrowded,-30dBFS,whisper,large,85.19413214797945
31943607,insideCrowded,-35dBFS,whisper,large,84.2970548398775
31943607,talking,-15dBFS,whisper,large,87.02581472446508
31943607,talking,-20dBFS,whisper,large,77.68030831803031
31943607,talking,-25dBFS,whisper,large,80.92967386398635
31943607,talking,-30dBFS,whisper,large,86.30655178818922
31943607,talking,-35dBFS,whisper,large,91.89572368109071
31943607,trafficOutside,-15dBFS,whisper,large,78.67918039443849
31943607,trafficOutside,-20dBFS,whisper,large,84.11490530051405
31943607,trafficOutside,-25dBFS,whisper,large,83.22917245938108
31943607,trafficOutside,-30dBFS,whisper,large,89.84201751965924
31943607,trafficOutside,-35dBFS,whisper,large,75.32417114159725
31994167,insideAmbulance,-15dBFS,whisper,large,80.01723043637651
31994167,insideAmbulance,-20dBFS,whisper,large,85.83611017109375
31994167,insideAmbulance,-25dBFS,whisper,large,81.87763386408336
31994167,insideAmbulance,-30dBFS,whisper,large,78.81966337264186
31994167,insideAmbulance,-35dBFS,whisper,large,73.90132763318995
31994167,insideCrowded,-15dBFS,whisper,large,58.84917572675441
31994167,insideCrowded,-20dBFS,whisper,large,81.30678014409702
31994167,insideCrowded,-25dBFS,whisper,large,78.9556956461906
31994167,insideCrowded,-30dBFS,whisper,large,87.98768656484384
31994167,insideCrowded,-35dBFS,whisper,large,84.65082975659912
31994167,talking,-15dBFS,whisper,large,74.23861637846238
31994167,talking,-20dBFS,whisper,large,81.67503366532539
31994167,talking,-25dBFS,whisper,large,81.18080507078133
31994167,talking,-30dBFS,whisper,large,89.0039698841134
31994167,talking,-35dBFS,whisper,large,89.79141091367609
31994167,trafficOutside,-15dBFS,whisper,large,82.14079282585723
31994167,trafficOutside,-20dBFS,whisper,large,86.38578389085424
31994167,trafficOutside,-25dBFS,whisper,large,83.63178085792802
31994167,trafficOutside,-30dBFS,whisper,large,84.42891309341624
31994167,trafficOutside,-35dBFS,whisper,large,79.72160595364362
32115701,insideAmbulance,-15dBFS,whisper,large,70.58929842679962
32115701,insideAmbulance,-20dBFS,whisper,large,82.11589665719423
32115701,insideAmbulance,-25dBFS,whisper,large,74.50817583208915
