convoID,ambientVariant,processedVolume,technology,model,wer
30942855,talking,-30dBFS,whisper,large,0.1413947536788228
30942855,talking,-35dBFS,whisper,large,0.20409468969929623
30942855,trafficOutside,-15dBFS,whisper,large,0.11580294305822136
30942855,trafficOutside,-20dBFS,whisper,large,0.15738963531669867
30942855,trafficOutside,-25dBFS,whisper,large,0.07869481765834933
30942855,trafficOutside,-30dBFS,whisper,large,0.04734484964811261
30942855,trafficOutside,-35dBFS,whisper,large,0.04734484964811261
30946765,insideAmbulance,-15dBFS,whisper,large,0.19627749576988154
30946765,insideAmbulance,-20dBFS,whisper,large,0.09813874788494077
30946765,insideAmbulance,-25dBFS,whisper,large,0.08573040045121263
30946765,insideAmbulance,-30dBFS,whisper,large,0.10321489001692047
30946765,insideAmbulance,-35dBFS,whisper,large,0.23463056965595036
30946765,insideCrowded,-15dBFS,whisper,large,0.4692611393119007
30946765,insideCrowded,-20dBFS,whisper,large,0.15172024816694868
30946765,insideCrowded,-25dBFS,whisper,large,0.19232938522278623
30946765,insideCrowded,-30dBFS,whisper,large,0.10039481105470953
30946765,insideCrowded,-35dBFS,whisper,large,0.21432600112803157
30946765,talking,-15dBFS,whisper,large,0.21094190637337845
30946765,talking,-20dBFS,whisper,large,0.08685843203609701
30946765,talking,-25dBFS,whisper,large,0.077834179357022
30946765,talking,-30dBFS,whisper,large,0.07332205301748448
30946765,talking,-35dBFS,whisper,large,0.10377890580936266
30946765,trafficOutside,-15dBFS,whisper,large,0.16243654822335024
30946765,trafficOutside,-20dBFS,whisper,large,0.12464749012972363
30946765,trafficOutside,-25dBFS,whisper,large,0.17597292724196278
30946765,trafficOutside,-30dBFS,whisper,large,0.19402143260011281
